,Hotel Name,Address,Rating (5),Price (2)
322,Cocoberry,"CG Kailash - 1, South Delhi",4.9,400
323,Chaskaa,"CA Vihar, East Delhi",4.1,900
324,Sampan,"ST Suryaa New Delhi,New Friends Colony, South Delhi",4.3,3500
325,Sandoz,"SC Tower,Nehru Place, South Delhi",4.1,1400
326,Elation,"EG Kailash - 1, South Delhi",4.2,2800
327,Fio Cookhouse and Bar,"BE Food Mall,Nehru Place, South Delhi",4.4,2100
328,Dunkin' Donuts,"DE Food Mall,Nehru Place, South Delhi",4.4,400
329,The Irish House,"HE Food Mall,Nehru Place, South Delhi",4.3,2000
330,Berco's,"BR Garden, West Delhi",4.3,1300
331,United Coffee House Rewind,"RE Food Mall,Nehru Place, South Delhi",4.3,2200
332,Tasim,"TR Garden, West Delhi",4.3,1100
333,Empress of China,"CE Hotel,Nehru Place, South Delhi",4.4,3000
334,The Asian Tuk Tuk,"TE Corporate Tower,Nehru Place, South Delhi",4.5,2300
335,Dhaba Estd 1,"19 DelhiEpicuria Food Mall,Nehru Place, South Delhi",4.1,2000
336,Royal China,"CE Corporate Tower,Nehru Place, South Delhi",4.4,2700
337,Taste Drive,"DR Garden, West Delhi",5.0,300
338,The Flying Saucer,"SE Food Mall,Nehru Place, South Delhi",4.1,2800
339,Wah Ji Wah,WS East Delhi,4.5,600
340,Baa Bistro,"BM Vihar Phase - 1, East Delhi",4.3,800
341,Giani,"GP Bagh, West Delhi",5.0,400
342,Hunger Nation,"NT Paragon Mall,Rajouri Garden, West Delhi",5.0,500
343,Nukkad Cafe & Bar,"BS Market,SDA, South Delhi",4.1,1500
344,Nimtho,"NG Kailash - 1, South Delhi",4.3,1200
345,Greenr Cafe,"CV Vihar, South Delhi",4.6,800
346,Grillz & Gravy,"GP Bagh, West Delhi",5.0,1000
347,Helter Skelter,"SS Market,SDA, South Delhi",4.2,1400
348,Miss Nora,"NR Cube Monad Mall,Rajouri Garden, West Delhi",4.4,1600
349,Sandoz,"SR Garden, West Delhi",4.3,1400
350,Only Bar,"BN Place, South Delhi",4.4,1000
351,Cafe Delhi Heights,"HR Garden, West Delhi",4.4,1300
352,King Live At Breath,"BP Bagh, West Delhi",4.7,200
353,Gola Sizzlers,"SB Dutta Market,Rajouri Garden, West Delhi",4.0,1100
354,Cafe Sandoz,"SS Market,SDA, South Delhi",4.2,1400
355,Pind Balluchi,"BP Tower,Netaji Subhash Place, North Delhi",4.0,1400
356,IKK Panjab,"PB Dutta Market,Rajouri Garden, West Delhi",4.3,1000
357,Mad Over Donuts,"DP Mall,Sahibabad, Ghaziabad",4.9,500
358,Otik Cake Shop,"SR Garden, West Delhi",4.2,500
359,Pizza Hut,"HR Garden, West Delhi",4.2,800
360,Heartbeat,"HR Garden, West Delhi",4.6,1400
361,The Chocolate Room,"RV Vihar, South Delhi",4.4,800
362,What A Comic Show,"SS Market,SDA, South Delhi",4.0,1500
363,The Blue Parrot Cafe,"CT Orion Plaza,Kalkaji, South Delhi",4.5,1500
364,Jazbaa Lounge and Bar,"BR Garden, West Delhi",4.1,2500
365,Cafe Tesu,"TE Farms,Aurobindo Marg, South Delhi",4.2,1500
366,Subs N Shakes,"SV Prime Plaza,Shalimar Bagh, North Delhi",4.7,400
367,Pinch of Spice,"SR Garden, West Delhi",4.4,1900
368,Dada Ji Di Punjabi Rasoi,"RS Bagh, North Delhi",4.0,800
369,Lord of the Drinks,"DR Garden, West Delhi",4.2,2500
370,Tippling Street,"SR Garden, West Delhi",4.2,2400
371,Pizza Hut,"HC Centre Vasant Vihar,Vasant Vihar, South Delhi",4.0,800
372,Tandoori Hut - Tandoori Taste Redifined,RK South Delhi,5.0,300
373,The Chai Story,SN West Delhi,4.3,700
374,Bintang Sweet Thrills,"TR Garden, West Delhi",5.0,400
375,Nando's,"NP Bagh, West Delhi",4.5,1800
376,Wok in the Clouds,"CB Dutta Market,Rajouri Garden, West Delhi",4.2,2200
377,Raftaar - The High Speed Bar and Lounge,"LP Bagh, West Delhi",4.0,2000
378,P,"PC Vihar, South Delhi",4.2,3200
379,Papa,"PJ & SonsPaschim Vihar, West Delhi",4.1,900
380,Courtyard By Maini's Green Leaf,"LP Mall,Sahibabad, Ghaziabad",4.2,1100
381,Talli Station,"SR Garden, West Delhi",4.1,1500
382,The Yellow Chilli,"CP Mall,Sahibabad, Ghaziabad",4.1,1100
383,Nori,"NP Bagh, West Delhi",4.7,1500
384,Wok in the Clouds,"CP Bagh, West Delhi",4.0,2200
385,Sardar-,"SJ CoffeeMalviya Nagar, South Delhi",4.4,600
386,The Waffle Co.,"CS Bagh, North Delhi",4.1,400
387,TEO - Lounge & Bar,"BP Bagh, West Delhi",4.1,2200
388,Roll Mad By 34 Chowringhee Lane,"LR Bagh, North Delhi",4.0,200
389,Sura Vie,"VP Bagh, West Delhi",4.2,1800
390,Imly,"IR Garden, West Delhi",4.0,800
391,Boombox Cafe,"CR Garden, West Delhi",4.0,2500
392,Cartoony Planet,"PP Bagh, West Delhi",4.2,1400
393,The Dine Room,"RP Bagh, West Delhi",4.1,1500
394,Qubitos - The Terrace Cafe,"CR Garden, West Delhi",4.0,2000
395,Biryani Blues,"BC Market,Malviya Nagar, South Delhi",4.4,700
396,The Backyard,"BP Bagh, West Delhi",4.3,1500
397,Empress Delhi,"DR Garden, West Delhi",4.1,1000
398,Whiz Cafe,"CG Kailash - 2, South Delhi",4.0,800
399,Lucknow Central - Kebabs And Curries,"CC Park, South Delhi",5.0,600
